상권_코드,resident_pop_2024,floating_pop_2024,estimated_sales_2024,resident_pop_2024_high25,resident_pop_2024_high10,floating_pop_2024_high25,floating_pop_2024_high10,estimated_sales_2024_high25,estimated_sales_2024_high10,is_active_25,is_active_10,log_resident_pop_2024,z_resident_pop_2024,log_floating_pop_2024,z_floating_pop_2024,log_estimated_sales_2024,z_estimated_sales_2024,score,상권_코드_명,시군구명,행정동명,lat,lon
3110031,9760,2117339,419482957,False,False,False,False,False,False,False,False,9.186150133174966,-0.726548857691419,14.565671141850652,-1.584151107075657,19.854533458493297,-1.8429644767376856,-1.3845548138349206,창신역 1번,종로구,창신3동,37.57937378710973,127.01469070899435
3110032,522,3199929,600216267,False,False,False,False,False,False,False,False,6.259581464064923,-2.7290603975994334,14.978639492530691,-1.2248918240402595,20.212800594901793,-1.6579979308990442,-1.8706500508462456,수족관거리,종로구,창신1동,37.57047435650392,127.01495860360055
3110033,44050,16958021,3079911853,False,False,False,False,False,False,False,False,10.693103332582249,0.3045874364151023,16.646251554168042,0.2258370578666979,21.848166814691197,-0.8136892848759143,-0.0944215968647046,창신역 4번,종로구,숭인1동,37.5776091335656,127.0166520098083
3110034,5892,8178536,1066509365,False,False,False,False,False,False,False,False,8.681520484837913,-1.07184288917641,15.917023841727463,-0.4085501166214598,20.787656877834305,-1.3612105055337702,-0.94720117044388,창신1동주민센터,종로구,창신1동,37.570633051454045,127.01707303468424
3110035,76536,36284049,5942334576,True,False,True,False,False,False,True,False,11.245529563019485,0.6825863923510502,17.406888808733882,0.8875487708232622,22.505367919537285,-0.4743887855241783,0.3652487925500446,동묘앞역 2번,종로구,숭인2동,37.57546030478428,127.01923200908888
3110036,7286,9105240,2085875719,False,False,False,False,False,False,False,False,8.893847217670283,-0.9265578195945356,16.02436073976664,-0.3151730407043887,21.45845461361016,-1.0148903228157802,-0.7522070610382349,동묘앞역 3번,종로구,숭인2동,37.57304761897314,127.02018120225281
3110037,34154,22448584,4603612664,False,False,False,False,False,False,False,False,10.438664267165947,0.1304869035701004,16.9267381412129,0.4698446434282708,22.250107194162656,-0.6061750697313262,-0.0019478409109849,신설동역 12번,종로구,숭인2동,37.57797473565853,127.02206539702229
3110038,278,704677,18421419245,False,False,False,False,False,False,False,False,5.631211781821365,-3.159023840214879,13.46549623986937,-2.541241513273793,23.636779913991106,0.109737826345453,-1.8635091757144064,경향신문사,중구,소공동,37.566888981779826,126.96890682020731
3110039,1996,2291495,5700949268,False,False,False,False,False,False,False,False,7.599401333415815,-1.812285480238926,14.644715437348296,-1.5153870071591402,22.463898536341983,-0.4957986436668675,-1.2744903770216445,회현역 1번,중구,회현동,37.55822709400281,126.98082033041574
3110040,20052,4498262,3419101491,False,False,False,False,False,False,False,False,9.906134047477034,-0.2338981599114581,15.319201880223371,-0.9286216642814814,21.952643631866124,-0.7597498803667959,-0.6407565681865784,중구회현체육센터(정화예술대남산캠퍼스),중구,회현동,37.55612802181107,126.98211293168428
3110041,15322,7488545,31691737077,False,False,False,False,False,False,False,False,9.637110246578176,-0.4179783325368629,15.82888521114794,-0.4852257775469961,24.179321823851925,0.3898419521261502,-0.1711207193192362,남산케이블카,중구,명동,37.55640294986213,126.98482847559646
3110042,21738,5128408,5076136659,False,False,False,False,False,False,False,False,9.98686316145718,-0.1786590725604163,15.450306032592456,-0.8145684112766927,22.34781630920998,-0.5557297018183538,-0.5163190618851542,남산골공원옆,중구,필동,37.55658540161978,126.99507513329299
