상권_코드,resident_pop_2024,floating_pop_2024,estimated_sales_2024,resident_pop_2024_high25,resident_pop_2024_high10,resident_pop_2024_high50,floating_pop_2024_high25,floating_pop_2024_high10,floating_pop_2024_high50,estimated_sales_2024_high25,estimated_sales_2024_high10,estimated_sales_2024_high50,is_active_25,is_active_10,is_active_50,상권_코드_명
3110076,432,1527828,4407798106,False,False,False,False,False,False,False,False,False,False,False,False,삼각지역 14번
3110077,27628,12685990,6073018430,False,False,False,False,False,False,False,False,False,False,False,False,삼광초등학교
3110078,10226,2687856,16827239496,False,False,False,False,False,False,False,False,False,False,False,False,이촌동점보아파트
3110079,224566,56119114,38322796863,True,True,True,True,True,True,False,False,True,True,True,True,후암동주민센터
3110080,89762,42582644,9159497807,True,False,True,True,False,True,False,False,False,True,False,False,해방촌예술마을
3110081,72966,42107166,37134001165,False,False,True,True,False,True,False,False,True,False,False,True,해방촌 남동측
3110082,21244,9098509,31838552897,False,False,False,False,False,False,False,False,True,False,False,False,용산구청
3110083,15850,2626281,807211531,False,False,False,False,False,False,False,False,False,False,False,False,서빙고역 1번
3110084,79560,25577590,36103837870,True,False,True,False,False,True,False,False,True,False,False,True,경리단길북측
3110085,58620,33456749,36196646555,False,False,True,True,False,True,False,False,True,False,False,True,경리단길남측
3110087,33914,6001387,3818622190,False,False,False,False,False,False,False,False,False,False,False,False,이태원엔틱가구거리
3110088,39356,9631477,7771400634,False,False,True,False,False,False,False,False,False,False,False,False,오산고등학교
3110089,53714,12892021,7976267866,False,False,True,False,False,False,False,False,False,False,False,False,서빙고동주민센터
3110090,42978,16091063,7801422754,False,False,True,False,False,True,False,False,False,False,False,False,한국폴리텍대학서울정수캠퍼스
3110091,3258,5448143,9155622102,False,False,False,False,False,False,False,False,False,False,False,False,리움미술관
3110092,74346,20520566,3209704000,False,False,True,False,False,True,False,False,False,False,False,False,NH농협은행 보광동지점
3110093,125718,60087949,38374549524,True,True,True,True,True,True,False,False,True,True,True,True,우사단길
3110094,7768,1983680,5257652048,False,False,False,False,False,False,False,False,False,False,False,False,오산중학교
3110095,50186,12330652,44662585409,False,False,True,False,False,False,False,False,True,False,False,False,한강진역 3번
3110096,21504,6471600,2433215496,False,False,False,False,False,False,False,False,False,False,False,False,한남힐사이드아파트
3110098,4864,2331162,16954952209,False,False,False,False,False,False,False,False,True,False,False,False,서울독일학교
