상권_코드,resident_pop_2024,floating_pop_2024,estimated_sales_2024
3110579,16870,8987891,4678117104
3110580,26970,17251103,1547743413
3110582,33338,13411335,15427510863
3110583,3664,9413910,5701651011
3110584,1958,2902413,69308854170
3110585,4746,4409407,1437367960
3110586,34190,40505125,27573985512
3110587,67802,17469722,4089804805
3110588,61490,27322177,4409160501
3110589,36900,4207268,1709622849
3110590,50580,41001351,10729023032
3110591,50068,31550074,35186544145
3110592,26626,6123743,1811531688
3110593,144362,27062246,29021394533
3110594,73232,10388825,6073059237
3110595,125506,20020675,38125105616
3110596,76928,14771776,7356312038
3110597,135190,27430739,23188336282
3110598,68766,13658087,21501347221
3110599,93494,23997626,6010282023
3110600,98944,14009276,21004195116
3110601,143754,35921191,21732009721
3110602,29794,4861946,3149380768
3110603,6964,2253607,13407719549
3110604,150096,28648751,18428636750
3110605,25726,2224202,9881732930
3110606,156546,38988183,43704004177
3110607,17982,4005276,908927157
3110608,193056,34661024,5093136082
3110609,52048,22101444,1572018300
3110610,67744,13366519,1090130208
3110611,102022,30981803,5460170221
3110612,179812,57262921,15436874321
3110613,10926,5341101,3281241026
3110614,50874,14992411,10902739070
3110615,22622,7376428,26827619461
3110616,19064,5562400,596322440
3110617,51324,12204271,910801029
3110618,137534,39295807,8207302825
3110619,29954,8568902,7762460313
3110620,186682,53311351,36254840431
3110621,15762,7190250,27455616696
3110622,89146,13205851,7385558656
3110623,3530,1983118,5673651459
3110624,52076,12903119,955101005
3110625,71686,19797383,66460030582
3110626,139238,33952265,4264611089
3110627,56072,33724717,49214290414
3110628,29670,7909846,4041670
3110630,130554,46799623,22965456644
3110631,83406,17823393,6572125988
3110632,33080,15247970,27566945302
3110633,9456,2251318,8358001230
3110634,178910,51592971,65281586976
3110635,61314,10254633,8293964207
3110636,27420,13659104,27221383692
3110637,42138,6185796,3866392766
3110638,126022,53495576,95572828224
3110639,59610,17102184,4040778722
3110640,57184,13315543,23087193242
3110641,34310,9826951,6116862705
3110642,17188,1947067,561773763
3110643,49616,16314765,54298629115
3110644,18208,2243050,6385024270
3110645,161144,35399612,71622131366
3110646,189402,47450590,41422698959
3110647,193774,61821887,15189043123
3110648,75992,3722416,66254746789
3110649,72438,23665170,45674081995
3110650,19406,3022064,5095803937
3110651,134424,19638324,28167187551
3110652,42502,8093664,7907523099
3110653,83686,24763751,14197650252
3110654,276214,73330409,43686628770
3110655,23540,9490055,23873734801
3110656,209708,139436894,85219090054
3110657,29664,14242773,75426288740
3110658,72186,22284936,13631348493
3110659,423004,121546773,56652348811
3110660,37888,18456054,99627020483
3110661,31474,7975604,345033744
3110662,277070,54968063,20238175973
3110663,32984,7080975,9448978349
3110664,12204,6657278,7184314887
3110665,118232,46396177,24501166386
3110666,40850,7052553,15504050786
3110667,13642,1173161,48108441600
3110668,198030,42316868,26543716929
3110669,17136,2028503,474272697
3110670,165668,36187808,7396062947
3110671,157064,49346362,119599053027
3110672,73038,17808447,449990079
3110673,92172,20805978,24729462433
3110674,2966,1431517,9779601476
3110675,168032,42189980,8187395405
3110676,72248,12048749,1764861818
3110677,33126,5803096,4667582866
3110678,25672,4717788,2649903049
3110679,22708,6076562,7532879719
3110680,37606,6392032,12431413747
3110681,4236,753797,1071004411
3110683,37492,6535084,6503200471
3110684,30474,4593542,4348795504
3110685,4490,2011722,4345610574
3110686,99420,22950102,16128908294
3110687,12488,3587422,1044861840
3110688,58920,21095078,3874620953
3110689,68966,20857216,12160154799
3110690,105578,45045384,49015276134
3110691,64564,18989683,14903463573
3110692,45410,21619771,1043322006
3110693,15342,2883204,1884628273
3110694,152108,50311085,14730431951
3110695,121762,39369966,44069917724
3110696,74516,18198414,5740052462
3110697,62710,13082746,2289417856
3110698,145160,17398547,4776895528
3110699,35576,12442797,9293433790
3110700,70222,25980709,962434777
3110701,26338,14240090,18878819213
3110702,52870,21305402,5145180675
3110703,43498,16124733,47031903368
3110704,2228,1291927,2285966367
3110706,14794,6787551,46509446122
3110707,46592,28273019,10272461345
3110708,28834,9587796,844450323
3110709,57922,28543789,4028240216
3110710,120208,61159781,56863499138
3110711,85788,33888921,14667733561
3110712,114066,54908015,26539469775
3110713,155892,70736843,51906715713
3110714,91286,35861878,77190014798
3110715,19796,7838129,3599410584
3110716,17846,9201901,21672473101
3110717,159634,80907470,48739635152
3110718,60506,23925634,68985080569
3110719,11110,7002383,729222589
3110720,53610,23499987,26803700895
3110721,56656,25041409,3214732483
3110722,87238,8311272,13446569750
3110723,17802,7681579,8921834533
3110724,65718,13549886,4575285827
3110725,38954,5786236,34298063290
3110726,37950,9055195,4339716041
3110727,40820,8448269,2986230569
3110728,35030,5588902,9820774395
3110729,64756,15617258,21097186216
3110730,61910,13960969,43433510855
3110731,22478,9073636,20192419504
3110732,60680,10780713,26346953278
3110733,8994,6789867,2403804311
3110734,6712,1009349,426332087
3110735,117744,27856418,22621766745
3110736,105030,19637073,25458969789
3110737,57662,29025040,6388912743
3110738,75712,19483164,44941698712
3110739,6698,714891,550160658
