상권_코드,resident_pop_2024,floating_pop_2024,estimated_sales_2024,resident_pop_2024_high25,floating_pop_2024_high25,estimated_sales_2024_high25
3110778,90472,32930585,41354939824,True,True,False
3110255,136218,60180115,40432157130,True,True,False
3111051,150586,73605745,40250868223,True,True,False
3130314,85338,38531387,39998722103,True,True,False
3110166,135100,48790331,39612321556,True,True,False
3110376,172784,84537800,39596461672,True,True,False
3110877,77936,31804966,39231151570,True,True,False
3110254,156506,86503775,38980435575,True,True,False
3110093,125718,60087949,38374549524,True,True,False
3110079,224566,56119114,38322796863,True,True,False
3110428,187392,93176513,37489425586,True,True,False
3110495,135872,32525584,37404271217,True,True,False
3111073,156352,88774294,37314399448,True,True,False
3111042,122570,47325343,37139525914,True,True,False
3110259,85714,34334206,36596444252,True,True,False
3110620,186682,53311351,36254840431,True,True,False
3110068,79892,42591015,36214150479,True,True,False
3110256,175382,39541992,35440180253,True,True,False
3110744,181642,47356585,33891079240,True,True,False
3110274,145360,33791493,33688547994,True,True,False
3110369,98228,32187009,33535762271,True,True,False
3110247,131426,51101328,32266112810,True,True,False
3111072,159536,52786604,32097349701,True,True,False
3110195,78398,38365393,31844809760,True,True,False
3110167,150210,41192056,31518284624,True,True,False
3110503,111270,43679137,31456382427,True,True,False
3110154,96558,47490990,31428357581,True,True,False
3110158,146762,66124555,31423225593,True,True,False
3110883,102550,32452909,31076228866,True,True,False
3110403,132608,38720730,31020438047,True,True,False
3110450,175424,49467827,30834111465,True,True,False
3111052,120792,31373230,30358193159,True,True,False
3110056,108592,47917598,29294716024,True,True,False
3110142,132968,46474458,29200367996,True,True,False
3110473,203592,44206201,27753244844,True,True,False
3110955,149560,66833154,27484268410,True,True,False
3111061,207488,67066168,27318002916,True,True,False
3110541,102072,32110142,26855787087,True,True,False
3110668,198030,42316868,26543716929,True,True,False
3110712,114066,54908015,26539469775,True,True,False
3110151,102066,34740054,26391083737,True,True,False
3110134,123158,41518825,26238419565,True,True,False
3110400,87262,34104255,25828697464,True,True,False
3110468,251920,76039612,24873595615,True,True,False
3110291,102186,57173820,24842807826,True,True,False
3110665,118232,46396177,24501166386,True,True,False
3110399,178788,44354279,23596246295,True,True,False
3110008,101644,36163618,22972073893,True,True,False
3110630,130554,46799623,22965456644,True,True,False
3110028,87210,56533606,22855257765,True,True,False
3110453,178996,39093485,22761239101,True,True,False
3110792,85958,55154537,22321527909,True,True,False
3110754,112014,31710240,22280405007,True,True,False
3110455,175876,37232395,22194367996,True,True,False
3110601,143754,35921191,21732009721,True,True,False
3110139,116732,51403836,21018693230,True,True,False
3111067,205938,69135331,20657839012,True,True,False
3110294,149168,40455089,20556906140,True,True,False
3110662,277070,54968063,20238175973,True,True,False
3110300,87300,77742500,19858361222,True,True,False
3110542,108102,39270196,19630231976,True,True,False
3110352,106962,39384357,19611114508,True,True,False
3110882,114044,41659795,19577141712,True,True,False
3111049,85986,32642039,18996820754,True,True,False
3110472,118160,32314563,18469535723,True,True,False
3120177,99404,41463603,18126498730,True,True,False
3110267,97828,37699248,17969832588,True,True,False
3110481,76990,63519936,17951427108,True,True,False
3110233,114110,35703830,17665463812,True,True,False
3111019,189896,37150046,17659540606,True,True,False
3110277,79190,29493780,17216923566,True,True,False
3110364,94770,41658147,17211005758,True,True,False
3110067,170616,56192814,16753242210,True,True,False
3110900,140146,41457791,16383821319,True,True,False
3110210,80534,56344346,16320182347,True,True,False
3110360,87502,35722912,15550819955,True,True,False
3110814,76702,32072722,15507012902,True,True,False
3110612,179812,57262921,15436874321,True,True,False
3110647,193774,61821887,15189043123,True,True,False
3110885,147800,37876954,14970076655,True,True,False
3110498,75492,48517374,14950202051,True,True,False
3110828,150724,44274325,14900421095,True,True,False
3110694,152108,50311085,14730431951,True,True,False
3110211,77776,59735143,14691362001,True,True,False
3110711,85788,33888921,14667733561,True,True,False
3110456,179936,39947588,14667629390,True,True,False
3110785,75354,29510261,14457570249,True,True,False
3110297,141854,54975396,14274469414,True,True,False
3110484,177710,42829526,13941845373,True,True,False
3110387,113164,38329507,13501127731,True,True,False
3110146,83702,39139938,13080167666,True,True,False
3110029,117840,74377437,12812561229,True,True,False
3110848,106090,34800821,12736972391,True,True,False
3110150,133618,44362496,12727579529,True,True,False
